1	Banany	4
2	Maliny	4
3	Truskawki	4
4	Ogórek	5
5	Pomidor	5
6	Kiwi	4
7	Nektarynki	4
8	Brzoskwinie	4
9	Papryka żółta	5
10	Papryka czerwona	5
11	Papryka zielona	5
12	Ziemniaki	5
13	Cebula	5
14	Czosnek	5
15	Pieczarki brązowe	5
16	Rzodkiewka	5
17	Szczypiorek	5
18	Mix sałat	5
19	Sałata	5
20	Cytryna	4
21	Pomarańcza	4
22	Pomidory koktajlowe	5
23	Bataty	5
24	Bułka wysokobialkowa	7
25	Bułka kajzerka	2
26	Bułka Grahamka	2
27	Bułka Poznańska	2
28	Bułka fitness	2
29	Bagietka czosnkowa	2
30	Bagietka	2
31	Wafle ryżowe	2
32	Chleb tostowy pszenny	2
33	Chleb tostowy razowy	2
34	Chleb tostowy maślany	2
35	Wafle ryżowe dzika (różne smaki)	7
36	Croasianty maślany	2
37	Croasaint z nadzieniem czekoladowym orzechowym	2
38	Szynka z kurczaka XXL	3
39	Szynka z indyka XXL	3
40	Ser gouda XXL	1
41	Filet z piersi kurczaka XXL	3
42	Mięso mielone z indyka	3
43	Ćwiartka z kurczaka	3
44	Podudzie z kurczaka	3
45	Mięso z nogi kurczaka	3
46	Mleko 1.5%	1
47	Serek wiejski wysokobiałkowy	7
48	Twaróg chudy	1
49	Twaróg tłusty	1
50	Twaróg półtłusty	1
51	Baton dzika (różne smaki)	7
52	Pudding proteinowy	7
53	Napój mleczny high protein	7
54	Mozzarella light	1
55	Mozzarella (kulki)	1
56	Parówki wysokobiałkowe z kurczaka	7
57	Parówki wysokobiałkowe z szynki	7
58	Jajka M	1
59	Mąka pszenna	2
60	Mąka pełnoziarnista	2
61	Płatki owsiane	2
62	Ryz biały	2
63	Makaron	2
64	Skyr naturalny	1
65	Skyr naturalny waniliowy	1
66	Śmietana 12%	1
67	Burger z kurczakiem (Kanapka)	6
68	Nugetsy z kurczaka (chef select)	3
